,M93119_at,D50310_at,X03066_at,M19645_at,U07550_at,X65784_s_at,D80004_at,M93426_at,L36463_at,X52011_at,M57464_s_at,J03191_at,M83308_at,X54304_at,U79262_at,M31303_rna1_at,D42041_at,U79294_at,U09087_s_at,U16954_at,L36818_at,L25270_at,L08895_at,U06155_at,D14043_at,U33818_at,X73358_s_at,D00763_at,D87470_at,U17760_rna1_at,D14662_at,D13631_s_at,M16447_at,M75099_at,Z69915_at,V01515_cds1_at,D25304_at,U90916_at,X76105_at,U51336_at,U91930_at,U30521_at,D45248_at,L06132_at,HG3514-HT3708_at,X04106_at,M20137_at,D85815_at,X00371_rna1_at,X61587_at,class
1,628,989,93,179,390,166,592,20,236,49,293,338,198,123,179,724,178,99,75,931,105,22,43,59,165,147,479,491,84,54,243,21,89,96,160,29,270,51,164,492,255,1274,141,437,273,370,117,175,29,79,MED
2,760,1120,89,241,302,205,317,81,223,31,192,198,180,123,192,579,103,150,59,845,60,21,47,52,166,96,433,350,151,41,228,54,88,139,172,23,250,20,62,419,321,1308,84,419,231,388,75,155,20,69,MED
3,596,1232,88,235,272,238,387,85,210,39,73,197,157,125,215,608,182,86,62,1107,25,22,20,41,100,77,799,378,166,39,185,20,106,184,184,25,140,20,80,238,355,1393,201,325,415,482,68,155,20,57,MED
4,825,1132,84,241,378,197,312,40,208,33,111,365,146,176,187,619,249,113,88,1187,55,21,45,63,117,115,588,476,106,20,238,31,78,181,164,21,167,54,183,268,306,1075,143,474,335,497,101,136,28,69,MED
5,536,1030,77,230,191,206,370,205,231,42,32,195,146,124,263,676,200,114,65,969,40,25,20,58,142,77,939,326,88,46,173,20,75,113,157,20,141,20,82,214,311,1284,177,517,341,351,83,155,33,66,MED
6,471,814,86,200,245,215,278,71,237,36,38,73,173,145,233,651,191,87,84,1172,34,21,25,71,100,94,790,337,169,53,138,20,102,139,158,22,120,20,208,200,375,1341,174,366,432,478,24,134,41,58,MED
7,165,703,103,231,423,206,281,97,252,47,52,64,190,95,252,751,128,158,67,1010,61,26,20,63,27,116,658,311,83,57,279,20,52,114,186,35,110,20,54,252,333,1222,199,359,416,253,99,143,22,42,MED
8,396,1034,115,20,20,85,197,20,259,87,161,130,330,45,173,243,118,128,105,588,32,53,20,20,61,47,458,151,44,114,52,20,20,41,184,50,77,23,20,228,143,849,42,137,84,363,143,337,39,50,MED
9,192,1321,89,87,61,118,199,22,149,64,108,96,418,92,200,927,104,141,66,928,20,30,24,20,49,68,1021,65,86,115,52,20,30,65,124,43,56,22,20,199,289,1414,27,213,303,445,93,377,42,42,MED
10,213,716,123,112,20,72,291,28,271,68,315,269,427,20,154,927,116,124,64,469,31,41,20,22,24,92,496,171,35,101,113,20,35,76,159,51,109,20,20,277,195,348,21,191,212,444,165,344,41,32,MED
