,M93119_at,D50310_at,U70321_at,X03066_at,M19645_at,U07550_at,X65784_s_at,D80004_at,X60188_at,L37792_at,M93426_at,L36463_at,X52011_at,X03663_at,X00371_rna1_at,M57464_s_at,L43338_at,M83308_at,J03191_at,U79262_at,M31303_rna1_at,X54304_at,D42041_at,U79294_at,U09087_s_at,U16954_at,L36818_at,L25270_at,L08895_at,U06155_at,U66879_at,D14043_at,U33818_at,X73358_s_at,D00763_at,D87470_at,Z97074_at,D14662_at,M69066_at,D13631_s_at,M16447_at,M75099_at,Z69915_at,V01515_cds1_at,D25304_at,U90916_at,X76105_at,U51336_at,U91930_at,U30521_at,D45248_at,L06132_at,HG3514-HT3708_at,X04106_at,M20137_at,D85815_at,X15187_at,U17760_rna1_at,U79248_at,X61587_at,class
1,628,989,22,93,179,390,166,592,27,197,20,236,49,29,29,293,37,198,338,179,724,123,178,99,75,931,105,22,43,59,83,165,147,479,491,84,51,243,217,21,89,96,160,29,270,51,164,492,255,1274,141,437,273,370,117,175,523,54,47,79,MED
2,760,1120,20,89,241,302,205,317,45,186,81,223,31,56,20,192,38,180,198,192,579,123,103,150,59,845,60,21,47,52,20,166,96,433,350,151,66,228,272,54,88,139,172,23,250,20,62,419,321,1308,84,419,231,388,75,155,478,41,60,69,MED
3,596,1232,31,88,235,272,238,387,95,190,85,210,39,20,20,73,38,157,197,215,608,125,182,86,62,1107,25,22,20,41,51,100,77,799,378,166,66,185,109,20,106,184,184,25,140,20,80,238,355,1393,201,325,415,482,68,155,423,39,66,57,MED
4,825,1132,55,84,241,378,197,312,109,151,40,208,33,20,28,111,34,146,365,187,619,176,249,113,88,1187,55,21,45,63,98,117,115,588,476,106,46,238,497,31,78,181,164,21,167,54,183,268,306,1075,143,474,335,497,101,136,564,20,53,69,MED
5,536,1030,75,77,230,191,206,370,83,211,205,231,42,20,33,32,29,146,195,263,676,124,200,114,65,969,40,25,20,58,46,142,77,939,326,88,78,173,85,20,75,113,157,20,141,20,82,214,311,1284,177,517,341,351,83,155,368,46,61,66,MED
6,471,814,22,86,200,245,215,278,131,120,71,237,36,20,41,38,26,173,73,233,651,145,191,87,84,1172,34,21,25,71,30,100,94,790,337,169,61,138,106,20,102,139,158,22,120,20,208,200,375,1341,174,366,432,478,24,134,458,53,62,58,MED
7,165,703,20,103,231,423,206,281,86,260,97,252,47,20,22,52,40,190,64,252,751,95,128,158,67,1010,61,26,20,63,20,27,116,658,311,83,81,279,64,20,52,114,186,35,110,20,54,252,333,1222,199,359,416,253,99,143,502,57,50,42,MED
8,396,1034,88,115,20,20,85,197,20,190,20,259,87,46,39,161,81,330,130,173,243,45,118,128,105,588,32,53,20,20,20,61,47,458,151,44,33,52,122,20,20,41,184,50,77,23,20,228,143,849,42,137,84,363,143,337,212,114,47,50,MED
9,192,1321,30,89,87,61,118,199,20,183,22,149,64,91,42,108,55,418,96,200,927,92,104,141,66,928,20,30,24,20,20,49,68,1021,65,86,73,52,127,20,30,65,124,43,56,22,20,199,289,1414,27,213,303,445,93,377,289,115,54,42,MED
10,213,716,57,123,112,20,72,291,20,114,28,271,68,20,41,315,51,427,269,154,927,20,116,124,64,469,31,41,20,22,20,24,92,496,171,35,39,113,117,20,35,76,159,51,109,20,20,277,195,348,21,191,212,444,165,344,294,101,32,32,MED
11,169,745,25,98,66,97,21,68,20,157,40,236,72,20,44,331,57,523,20,170,606,35,76,77,35,579,20,46,20,20,20,20,38,537,68,20,36,143,101,20,34,67,56,45,76,20,20,173,155,353,20,181,129,339,121,333,212,126,38,20,MED
