,D14662_at,U16954_at,M16447_at,V01515_cds1_at,X76105_at,J03191_at,X00371_rna1_at,M31303_rna1_at,D42041_at,U79294_at,class
1,243,931,89,29,164,338,29,724,178,99,MED
2,228,845,88,23,62,198,20,579,103,150,MED
3,185,1107,106,25,80,197,20,608,182,86,MED
4,238,1187,78,21,183,365,28,619,249,113,MED
5,173,969,75,20,82,195,33,676,200,114,MED
6,138,1172,102,22,208,73,41,651,191,87,MED
7,279,1010,52,35,54,64,22,751,128,158,MED
8,52,588,20,50,20,130,39,243,118,128,MED
9,52,928,30,43,20,96,42,927,104,141,MED
10,113,469,35,51,20,269,41,927,116,124,MED
11,143,579,34,45,20,20,44,606,76,77,MED
12,57,1237,44,46,20,133,53,871,94,88,MED
13,37,812,45,24,33,90,32,1066,90,134,MED
14,98,649,24,39,20,135,64,568,132,183,MED
15,132,70,32,32,86,878,46,466,195,170,MED
16,112,1032,42,22,50,223,38,746,165,111,MED
17,196,880,38,35,84,365,39,472,198,137,MED
18,151,984,47,36,82,367,37,581,170,100,MED
19,170,1159,57,38,27,181,43,604,200,131,MED
20,73,1108,34,38,29,305,34,908,99,173,MED
21,125,740,24,25,20,219,39,699,113,172,MED
22,104,1443,29,51,20,28,51,964,90,83,MED
23,91,808,32,45,20,20,42,732,72,391,MED
24,105,945,33,43,20,20,20,830,105,297,MED
25,65,861,20,20,20,113,20,1093,94,20,MED
26,153,981,75,42,56,122,48,515,257,85,MED
27,110,378,42,45,20,274,26,634,66,170,MED
28,191,626,36,45,66,176,52,534,205,102,MED
29,135,1102,40,28,49,237,44,830,108,104,MED
30,203,387,48,52,93,155,40,467,273,160,MED
31,86,682,20,20,20,20,26,1106,84,379,MED
32,102,747,35,61,20,51,47,842,115,74,MED
33,215,407,83,46,45,309,42,573,221,114,MED
34,41,699,44,26,40,112,64,576,113,109,MED
35,187,874,89,49,49,106,59,696,197,200,MED
36,134,872,70,43,108,196,40,791,148,86,MED
37,177,848,97,42,87,309,42,631,277,92,MED
38,116,1069,69,41,108,20,44,819,137,129,MED
39,172,786,50,46,20,126,37,751,162,95,MED
40,42,337,70,69,20,30,69,183,110,91,MGL
41,202,276,77,61,20,112,61,250,156,246,MGL
42,179,169,82,56,20,121,74,225,113,461,MGL
43,222,309,117,57,66,320,60,265,169,302,MGL
44,136,486,109,66,20,20,70,167,145,156,MGL
45,85,177,34,64,20,47,66,93,84,148,MGL
46,505,222,74,61,20,105,69,267,100,403,MGL
47,281,607,84,27,93,721,39,452,329,168,RHB
48,197,108,37,37,85,1132,26,275,323,142,RHB
49,340,211,40,45,72,924,36,395,339,104,RHB
50,312,455,101,63,57,881,33,508,347,104,RHB
51,329,261,58,38,76,754,27,515,436,104,RHB
52,292,54,65,20,101,1029,40,404,376,101,RHB
53,306,71,42,31,134,739,35,187,314,704,RHB
54,434,75,45,22,206,154,41,263,221,323,EPD
55,373,46,36,42,154,73,37,226,219,254,EPD
56,582,114,97,27,298,416,32,288,246,298,EPD
57,395,191,108,26,206,605,20,428,251,383,EPD
58,366,434,111,23,171,458,22,608,263,291,EPD
59,537,155,51,30,243,120,35,381,303,307,EPD
60,327,176,70,38,183,306,31,193,221,378,EPD
61,445,323,105,25,164,237,20,329,147,671,EPD
62,579,49,134,27,121,353,32,226,274,550,EPD
63,431,320,113,22,205,580,26,287,222,559,EPD
64,198,335,231,21,132,375,32,301,215,976,JPA
65,309,352,253,20,118,246,35,343,221,911,JPA
66,249,329,228,24,101,257,43,277,209,857,JPA
67,294,313,220,21,117,292,31,256,173,781,JPA
68,285,287,233,24,92,259,33,271,163,887,JPA
69,356,269,200,28,83,263,39,228,187,887,JPA
