,U07550_at,D80004_at,M57464_s_at,J03191_at,U79262_at,M31303_rna1_at,D42041_at,U79294_at,U16954_at,D00763_at,D14662_at,D13631_s_at,M16447_at,V01515_cds1_at,D25304_at,X76105_at,HG3514-HT3708_at,M20137_at,D85815_at,X00371_rna1_at,class
1,390,592,293,338,179,724,178,99,931,491,243,21,89,29,270,164,273,117,175,29,MED
2,302,317,192,198,192,579,103,150,845,350,228,54,88,23,250,62,231,75,155,20,MED
3,272,387,73,197,215,608,182,86,1107,378,185,20,106,25,140,80,415,68,155,20,MED
4,378,312,111,365,187,619,249,113,1187,476,238,31,78,21,167,183,335,101,136,28,MED
5,191,370,32,195,263,676,200,114,969,326,173,20,75,20,141,82,341,83,155,33,MED
6,245,278,38,73,233,651,191,87,1172,337,138,20,102,22,120,208,432,24,134,41,MED
7,423,281,52,64,252,751,128,158,1010,311,279,20,52,35,110,54,416,99,143,22,MED
8,20,197,161,130,173,243,118,128,588,151,52,20,20,50,77,20,84,143,337,39,MED
9,61,199,108,96,200,927,104,141,928,65,52,20,30,43,56,20,303,93,377,42,MED
10,20,291,315,269,154,927,116,124,469,171,113,20,35,51,109,20,212,165,344,41,MED
11,97,68,331,20,170,606,76,77,579,68,143,20,34,45,76,20,129,121,333,44,MED
12,20,320,57,133,299,871,94,88,1237,93,57,20,44,46,26,20,190,149,334,53,MED
13,124,314,131,90,298,1066,90,134,812,68,37,20,45,24,20,33,137,102,260,32,MED
14,119,157,123,135,261,568,132,183,649,63,98,20,24,39,27,20,210,105,304,64,MED
15,293,55,231,878,131,466,195,170,70,156,132,20,32,32,62,86,338,123,292,46,MED
16,143,307,277,223,215,746,165,111,1032,132,112,20,42,22,87,50,227,160,254,38,MED
17,214,321,176,365,142,472,198,137,880,263,196,34,38,35,212,84,324,112,224,39,MED
18,194,322,186,367,171,581,170,100,984,245,151,20,47,36,197,82,213,86,190,37,MED
19,246,235,119,181,185,604,200,131,1159,201,170,20,57,38,120,27,253,121,197,43,MED
20,209,296,188,305,178,908,99,173,1108,95,73,20,34,38,66,29,214,80,267,34,MED
21,91,270,67,219,222,699,113,172,740,114,125,28,24,25,85,20,232,114,260,39,MED
22,179,278,99,28,315,964,90,83,1443,64,104,20,29,51,35,20,216,97,297,51,MED
23,123,349,73,20,120,732,72,391,808,92,91,20,32,45,66,20,162,117,285,42,MED
24,79,169,25,20,101,830,105,297,945,95,105,20,33,43,20,20,110,86,265,20,MED
25,67,415,22,113,152,1093,94,20,861,78,65,20,20,20,20,20,250,106,249,20,MED
26,142,173,77,122,259,515,257,85,981,204,153,20,75,42,111,56,297,140,190,48,MED
27,308,65,690,274,186,634,66,170,378,147,110,20,42,45,205,20,135,147,253,26,MED
28,308,224,287,176,219,534,205,102,626,320,191,20,36,45,233,66,202,148,247,52,MED
29,70,387,96,237,196,830,108,104,1102,127,135,20,40,28,84,49,372,113,274,44,MED
30,122,183,130,155,111,467,273,160,387,131,203,20,48,52,136,93,271,133,263,40,MED
31,64,100,26,20,147,1106,84,379,682,69,86,36,20,20,47,20,205,139,244,26,MED
32,109,198,20,51,137,842,115,74,747,63,102,20,35,61,22,20,123,98,277,47,MED
33,362,300,308,309,189,573,221,114,407,254,215,20,83,46,176,45,449,132,232,42,MED
34,144,418,268,112,148,576,113,109,699,70,41,20,44,26,214,40,178,83,273,64,MED
35,225,320,262,106,204,696,197,200,874,276,187,20,89,49,191,49,214,126,229,59,MED
36,255,385,210,196,208,791,148,86,872,220,134,20,70,43,180,108,250,88,203,40,MED
37,237,353,175,309,185,631,277,92,848,226,177,20,97,42,153,87,216,102,226,42,MED
38,79,159,41,20,171,819,137,129,1069,100,116,20,69,41,98,108,328,117,216,44,MED
39,230,258,206,126,200,751,162,95,786,142,172,20,50,46,163,20,356,113,248,37,MED
40,91,97,121,30,125,183,110,91,337,72,42,36,70,69,149,20,73,209,380,69,MGL
41,174,23,128,112,103,250,156,246,276,136,202,98,77,61,235,20,207,189,359,61,MGL
42,45,50,78,121,91,225,113,461,169,26,179,40,82,56,185,20,83,198,373,74,MGL
43,198,64,165,320,146,265,169,302,309,163,222,99,117,57,296,66,237,188,316,60,MGL
44,133,91,68,20,138,167,145,156,486,68,136,63,109,66,214,20,178,172,382,70,MGL
45,57,54,109,47,125,93,84,148,177,60,85,44,34,64,165,20,54,176,349,66,MGL
46,150,53,84,105,85,267,100,403,222,67,505,84,74,61,299,20,108,172,382,69,MGL
47,370,158,257,721,64,452,329,168,607,320,281,194,84,27,569,93,403,117,214,39,RHB
48,405,138,281,1132,102,275,323,142,108,268,197,20,37,37,165,85,591,124,204,26,RHB
49,389,114,307,924,109,395,339,104,211,397,340,20,40,45,178,72,458,90,216,36,RHB
50,390,164,303,881,132,508,347,104,455,285,312,20,101,63,180,57,553,128,198,33,RHB
51,663,91,283,754,110,515,436,104,261,425,329,20,58,38,209,76,457,108,183,27,RHB
52,457,138,292,1029,75,404,376,101,54,489,292,20,65,20,241,101,505,109,147,40,RHB
53,144,46,265,739,56,187,314,704,71,383,306,20,42,31,243,134,537,84,216,35,RHB
54,390,108,94,154,71,263,221,323,75,366,434,20,45,22,136,206,208,163,237,41,EPD
55,384,73,20,73,92,226,219,254,46,323,373,33,36,42,159,154,231,108,230,37,EPD
56,428,102,63,416,76,288,246,298,114,377,582,62,97,27,203,298,387,128,171,32,EPD
57,538,72,102,605,114,428,251,383,191,453,395,23,108,26,162,206,458,98,199,20,EPD
58,498,98,126,458,129,608,263,291,434,483,366,27,111,23,176,171,295,92,163,22,EPD
59,426,25,119,120,87,381,303,307,155,368,537,26,51,30,200,243,208,142,191,35,EPD
60,330,80,62,306,63,193,221,378,176,308,327,24,70,38,147,183,316,56,174,31,EPD
61,497,69,119,237,112,329,147,671,323,342,445,114,105,25,321,164,323,149,170,20,EPD
62,389,97,55,353,130,226,274,550,49,393,579,141,134,27,382,121,286,118,161,32,EPD
63,363,103,88,580,95,287,222,559,320,409,431,89,113,22,288,205,463,95,174,26,EPD
64,340,46,88,375,87,301,215,976,335,239,198,329,231,21,686,132,328,107,182,32,JPA
65,293,34,62,246,89,343,221,911,352,297,309,365,253,20,766,118,290,95,177,35,JPA
66,270,43,66,257,74,277,209,857,329,250,249,331,228,24,656,101,295,118,223,43,JPA
67,328,38,83,292,66,256,173,781,313,316,294,396,220,21,799,117,390,111,213,31,JPA
68,315,51,75,259,80,271,163,887,287,171,285,314,233,24,641,92,355,101,228,33,JPA
69,336,54,65,263,78,228,187,887,269,247,356,293,200,28,737,83,363,121,216,39,JPA
