,M93119_at,D50310_at,U07550_at,D80004_at,M93426_at,X52011_at,M57464_s_at,J03191_at,X54304_at,U79262_at,M31303_rna1_at,D42041_at,U79294_at,U16954_at,L36818_at,U06155_at,D00763_at,U17760_rna1_at,D14662_at,D13631_s_at,M16447_at,V01515_cds1_at,D25304_at,X76105_at,U51336_at,D45248_at,HG3514-HT3708_at,M20137_at,D85815_at,X00371_rna1_at,class
1,628,989,390,592,20,49,293,338,123,179,724,178,99,931,105,59,491,54,243,21,89,29,270,164,492,141,273,117,175,29,MED
2,760,1120,302,317,81,31,192,198,123,192,579,103,150,845,60,52,350,41,228,54,88,23,250,62,419,84,231,75,155,20,MED
3,596,1232,272,387,85,39,73,197,125,215,608,182,86,1107,25,41,378,39,185,20,106,25,140,80,238,201,415,68,155,20,MED
4,825,1132,378,312,40,33,111,365,176,187,619,249,113,1187,55,63,476,20,238,31,78,21,167,183,268,143,335,101,136,28,MED
5,536,1030,191,370,205,42,32,195,124,263,676,200,114,969,40,58,326,46,173,20,75,20,141,82,214,177,341,83,155,33,MED
6,471,814,245,278,71,36,38,73,145,233,651,191,87,1172,34,71,337,53,138,20,102,22,120,208,200,174,432,24,134,41,MED
7,165,703,423,281,97,47,52,64,95,252,751,128,158,1010,61,63,311,57,279,20,52,35,110,54,252,199,416,99,143,22,MED
8,396,1034,20,197,20,87,161,130,45,173,243,118,128,588,32,20,151,114,52,20,20,50,77,20,228,42,84,143,337,39,MED
9,192,1321,61,199,22,64,108,96,92,200,927,104,141,928,20,20,65,115,52,20,30,43,56,20,199,27,303,93,377,42,MED
10,213,716,20,291,28,68,315,269,20,154,927,116,124,469,31,22,171,101,113,20,35,51,109,20,277,21,212,165,344,41,MED
11,169,745,97,68,40,72,331,20,35,170,606,76,77,579,20,20,68,126,143,20,34,45,76,20,173,20,129,121,333,44,MED
12,536,956,20,320,25,90,57,133,37,299,871,94,88,1237,20,20,93,124,57,20,44,46,26,20,240,87,190,149,334,53,MED
13,459,984,124,314,84,51,131,90,53,298,1066,90,134,812,20,20,68,91,37,20,45,24,20,33,254,90,137,102,260,32,MED
14,128,1307,119,157,35,64,123,135,20,261,568,132,183,649,20,20,63,103,98,20,24,39,27,20,207,42,210,105,304,64,MED
15,20,571,293,55,30,43,231,878,344,131,466,195,170,70,109,29,156,68,132,20,32,32,62,86,207,201,338,123,292,46,MED
16,701,2082,143,307,20,50,277,223,57,215,746,165,111,1032,30,20,132,49,112,20,42,22,87,50,302,39,227,160,254,38,MED
17,686,838,214,321,20,54,176,365,180,142,472,198,137,880,95,43,263,65,196,34,38,35,212,84,462,109,324,112,224,39,MED
18,923,1132,194,322,22,49,186,367,78,171,581,170,100,984,48,36,245,57,151,20,47,36,197,82,446,82,213,86,190,37,MED
19,409,1434,246,235,76,42,119,181,51,185,604,200,131,1159,54,32,201,52,170,20,57,38,120,27,262,114,253,121,197,43,MED
20,899,1479,209,296,46,46,188,305,65,178,908,99,173,1108,24,20,95,93,73,20,34,38,66,29,216,88,214,80,267,34,MED
21,233,1182,91,270,226,47,67,219,72,222,699,113,172,740,52,20,114,51,125,28,24,25,85,20,296,149,232,114,260,39,MED
