,M93119_at,D50310_at,U07550_at,X65784_s_at,D80004_at,M93426_at,X52011_at,M57464_s_at,J03191_at,M83308_at,X54304_at,U79262_at,M31303_rna1_at,D42041_at,U79294_at,U09087_s_at,U16954_at,L36818_at,L25270_at,U06155_at,D00763_at,D87470_at,U17760_rna1_at,D14662_at,D13631_s_at,M16447_at,M75099_at,Z69915_at,V01515_cds1_at,D25304_at,U90916_at,X76105_at,U51336_at,D45248_at,L06132_at,HG3514-HT3708_at,X04106_at,M20137_at,D85815_at,X00371_rna1_at,class
1,628,989,390,166,592,20,49,293,338,198,123,179,724,178,99,75,931,105,22,59,491,84,54,243,21,89,96,160,29,270,51,164,492,141,437,273,370,117,175,29,MED
2,760,1120,302,205,317,81,31,192,198,180,123,192,579,103,150,59,845,60,21,52,350,151,41,228,54,88,139,172,23,250,20,62,419,84,419,231,388,75,155,20,MED
3,596,1232,272,238,387,85,39,73,197,157,125,215,608,182,86,62,1107,25,22,41,378,166,39,185,20,106,184,184,25,140,20,80,238,201,325,415,482,68,155,20,MED
4,825,1132,378,197,312,40,33,111,365,146,176,187,619,249,113,88,1187,55,21,63,476,106,20,238,31,78,181,164,21,167,54,183,268,143,474,335,497,101,136,28,MED
5,536,1030,191,206,370,205,42,32,195,146,124,263,676,200,114,65,969,40,25,58,326,88,46,173,20,75,113,157,20,141,20,82,214,177,517,341,351,83,155,33,MED
6,471,814,245,215,278,71,36,38,73,173,145,233,651,191,87,84,1172,34,21,71,337,169,53,138,20,102,139,158,22,120,20,208,200,174,366,432,478,24,134,41,MED
7,165,703,423,206,281,97,47,52,64,190,95,252,751,128,158,67,1010,61,26,63,311,83,57,279,20,52,114,186,35,110,20,54,252,199,359,416,253,99,143,22,MED
8,396,1034,20,85,197,20,87,161,130,330,45,173,243,118,128,105,588,32,53,20,151,44,114,52,20,20,41,184,50,77,23,20,228,42,137,84,363,143,337,39,MED
9,192,1321,61,118,199,22,64,108,96,418,92,200,927,104,141,66,928,20,30,20,65,86,115,52,20,30,65,124,43,56,22,20,199,27,213,303,445,93,377,42,MED
10,213,716,20,72,291,28,68,315,269,427,20,154,927,116,124,64,469,31,41,22,171,35,101,113,20,35,76,159,51,109,20,20,277,21,191,212,444,165,344,41,MED
11,169,745,97,21,68,40,72,331,20,523,35,170,606,76,77,35,579,20,46,20,68,20,126,143,20,34,67,56,45,76,20,20,173,20,181,129,339,121,333,44,MED
12,536,956,20,169,320,25,90,57,133,355,37,299,871,94,88,61,1237,20,20,20,93,70,124,57,20,44,56,154,46,26,20,20,240,87,147,190,439,149,334,53,MED
13,459,984,124,98,314,84,51,131,90,363,53,298,1066,90,134,55,812,20,42,20,68,41,91,37,20,45,70,127,24,20,20,33,254,90,250,137,556,102,260,32,MED
14,128,1307,119,32,157,35,64,123,135,349,20,261,568,132,183,68,649,20,46,20,63,20,103,98,20,24,197,85,39,27,20,20,207,42,154,210,333,105,304,64,MED
15,20,571,293,217,55,30,43,231,878,261,344,131,466,195,170,83,70,109,32,29,156,51,68,132,20,32,195,64,32,62,20,86,207,201,286,338,1009,123,292,46,MED
16,701,2082,143,88,307,20,50,277,223,265,57,215,746,165,111,90,1032,30,31,20,132,55,49,112,20,42,23,396,22,87,20,50,302,39,205,227,398,160,254,38,MED
17,686,838,214,97,321,20,54,176,365,205,180,142,472,198,137,87,880,95,25,43,263,70,65,196,34,38,108,167,35,212,20,84,462,109,299,324,426,112,224,39,MED
18,923,1132,194,152,322,22,49,186,367,180,78,171,581,170,100,69,984,48,26,36,245,55,57,151,20,47,73,185,36,197,20,82,446,82,412,213,472,86,190,37,MED
19,409,1434,246,85,235,76,42,119,181,190,51,185,604,200,131,104,1159,54,33,32,201,76,52,170,20,57,156,166,38,120,20,27,262,114,372,253,334,121,197,43,MED
